,Bentota_hotel,CV_format,Colombo_hotel
2014-12-28,76.0,47.0,79.0
2015-01-04,35.0,40.0,48.0
2015-01-11,46.0,57.0,60.0
2015-01-18,49.0,68.0,74.0
2015-01-25,59.0,70.0,56.0
2015-02-01,44.0,54.0,57.0
2015-02-08,49.0,64.0,66.0
2015-02-15,61.0,81.0,60.0
2015-02-22,49.0,52.0,59.0
2015-03-01,60.0,78.0,50.0
2015-03-08,43.0,52.0,58.0
2015-03-15,47.0,67.0,53.0
2015-03-22,54.0,56.0,61.0
2015-03-29,75.0,50.0,52.0
2015-04-05,90.0,38.0,61.0
2015-04-12,89.0,52.0,51.0
2015-04-19,62.0,64.0,58.0
2015-04-26,100.0,50.0,47.0
2015-05-03,61.0,38.0,71.0
2015-05-10,38.0,72.0,44.0
2015-05-17,44.0,61.0,61.0
2015-05-24,51.0,58.0,56.0
2015-05-31,56.0,58.0,61.0
2015-06-07,77.0,72.0,58.0
2015-06-14,56.0,55.0,50.0
2015-06-21,64.0,55.0,58.0
2015-06-28,70.0,42.0,56.0
2015-07-05,52.0,70.0,52.0
2015-07-12,69.0,70.0,52.0
2015-07-19,67.0,60.0,64.0
2015-07-26,68.0,40.0,58.0
2015-08-02,58.0,52.0,70.0
2015-08-09,67.0,62.0,71.0
2015-08-16,59.0,42.0,56.0
2015-08-23,74.0,53.0,74.0
2015-08-30,54.0,65.0,66.0
2015-09-06,54.0,97.0,63.0
2015-09-13,57.0,96.0,68.0
2015-09-20,71.0,70.0,68.0
2015-09-27,47.0,61.0,59.0
2015-10-04,55.0,50.0,60.0
2015-10-11,54.0,67.0,53.0
2015-10-18,50.0,68.0,56.0
2015-10-25,59.0,47.0,62.0
2015-11-01,43.0,57.0,52.0
2015-11-08,56.0,45.0,67.0
2015-11-15,62.0,71.0,62.0
2015-11-22,53.0,59.0,57.0
2015-11-29,57.0,65.0,65.0
2015-12-06,54.0,72.0,72.0
2015-12-13,68.0,54.0,73.0
2015-12-20,94.0,46.0,79.0
2015-12-27,61.0,70.0,84.0
2016-01-03,68.0,70.0,67.0
2016-01-10,53.0,72.0,59.0
2016-01-17,41.0,64.0,59.0
2016-01-24,33.0,58.0,60.0
2016-01-31,37.0,53.0,61.0
2016-02-07,57.0,62.0,56.0
2016-02-14,47.0,47.0,68.0
2016-02-21,40.0,47.0,56.0
2016-02-28,33.0,52.0,55.0
2016-03-06,47.0,51.0,63.0
2016-03-13,36.0,45.0,58.0
2016-03-20,48.0,42.0,61.0
2016-03-27,61.0,48.0,58.0
2016-04-03,58.0,43.0,54.0
2016-04-10,75.0,18.0,57.0
2016-04-17,59.0,33.0,52.0
2016-04-24,48.0,80.0,55.0
2016-05-01,57.0,42.0,58.0
2016-05-08,56.0,42.0,57.0
2016-05-15,40.0,44.0,43.0
2016-05-22,25.0,37.0,50.0
2016-05-29,37.0,55.0,55.0
2016-06-05,47.0,39.0,62.0
2016-06-12,35.0,58.0,54.0
2016-06-19,38.0,43.0,51.0
2016-06-26,51.0,41.0,45.0
2016-07-03,40.0,37.0,63.0
2016-07-10,43.0,51.0,65.0
2016-07-17,34.0,30.0,62.0
2016-07-24,36.0,38.0,58.0
2016-07-31,48.0,53.0,55.0
2016-08-07,50.0,32.0,62.0
2016-08-14,58.0,29.0,53.0
2016-08-21,44.0,55.0,47.0
2016-08-28,31.0,52.0,56.0
2016-09-04,49.0,76.0,56.0
2016-09-11,70.0,62.0,51.0
2016-09-18,33.0,51.0,48.0
2016-09-25,33.0,47.0,48.0
2016-10-02,29.0,49.0,50.0
2016-10-09,38.0,48.0,61.0
2016-10-16,43.0,45.0,58.0
2016-10-23,42.0,66.0,55.0
2016-10-30,41.0,60.0,53.0
2016-11-06,55.0,46.0,53.0
2016-11-13,39.0,56.0,51.0
2016-11-20,54.0,58.0,60.0
2016-11-27,52.0,64.0,55.0
2016-12-04,55.0,59.0,61.0
2016-12-11,43.0,52.0,54.0
2016-12-18,54.0,53.0,75.0
2016-12-25,38.0,45.0,81.0
2017-01-01,34.0,83.0,60.0
2017-01-08,56.0,69.0,74.0
2017-01-15,39.0,77.0,77.0
2017-01-22,47.0,78.0,67.0
